med hs dm twosigdown onesigdown exp onesigup twosigup
3000 50 50 .0154000 .0202000 .0274000 .0375000 .0498000
3000 50 100 .0157000 .0204000 .0277000 .0380000 .0505000
3000 50 150 .0154000 .0202000 .0275000 .0376000 .0500000
3000 50 200 .0160000 .0209000 .0284000 .0389000 .0517000
3000 50 250 .0163000 .0212000 .0287000 .0396000 .0525000
3000 50 300 .0166000 .0217000 .0295000 .0404000 .0537000
3000 50 400 .0177000 .0231000 .0314000 .0430000 .0572000
3000 70 50 .0162000 .0212000 .0287000 .0394000 .0523000
3000 70 100 .0164000 .0214000 .0292000 .0400000 .0532000
3000 70 150 .0166000 .0217000 .0296000 .0405000 .0538000
3000 70 200 .0169000 .0222000 .0301000 .0413000 .0548000
3000 70 250 .0172000 .0225000 .0306000 .0419000 .0557000
3000 70 300 .0178000 .0233000 .0317000 .0435000 .0578000
3000 70 400 .0193000 .0251000 .0342000 .0469000 .0623000
3000 90 50 .0078000 .0102000 .0138000 .0188000 .0250000
3000 90 100 .0078000 .0102000 .0138000 .0188000 .0250000
3000 90 150 .0078000 .0102000 .0139000 .0190000 .0253000
3000 90 200 .0080000 .0104000 .0141000 .0192000 .0255000
3000 90 250 .0083000 .0109000 .0148000 .0201000 .0268000
3000 90 300 .0085000 .0112000 .0152000 .0206000 .0275000
3000 90 400 .0089000 .0117000 .0160000 .0218000 .0290000
